=== Android Logcat 캡처 ===
=== 저장 시각: 2026-09-27 02:52:05 ===
=== 대상 기기: SM_S901N (R3CTA0SSZ4Z) ===

--------- beginning of main
09-27 02:43:05.383 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:05.383 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:05.383 30575 30610 I Unity   : Hexiege.Infrastructure.<StartMatchmadeGameAsync>d__50:MoveNext()
09-27 02:43:05.383 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:05.383 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:05.383 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:05.383 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:05.383 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:05.383 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:05.383 30575 30610 I Unity   : Hexiege.Infrastructure.<CreateOrJoinLobbyByMatchIdAsync>d__10:MoveNext()
09-27 02:43:05.383 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(Executi
09-27 02:43:05.385 30575 30610 I Unity   : SetGameState: isLoading: false, mode: UNKNOWN, label: 1, quality: 0
09-27 02:43:05.387 30575 30610 I Unity   : SetGameState: isLoading: true, mode: UNKNOWN, label: -4, quality: 0
09-27 02:43:05.804 30575 30610 I Unity   : [02:43:05.801] [INFO] [Network/NetworkGameManager] RelayJoinCode 대기 중 | Attempt=1, MaxRetries=15
09-27 02:43:05.804 30575 30610 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
09-27 02:43:05.804 30575 30610 I Unity   : Hexiege.Infrastructure.ConsoleSink:Write(LogLevel, String, String, String, String, Exception)
09-27 02:43:05.804 30575 30610 I Unity   : Hexiege.Application.GameLog:Emit(LogLevel, Nullable`1, String, String, String, String, Exception)
09-27 02:43:05.804 30575 30610 I Unity   : Hexiege.Infrastructure.<JoinMatchmadeGameAsync>d__52:MoveNext()
09-27 02:43:05.804 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
09-27 02:43:05.804 30575 30610 I Unity   : System.Runtime.CompilerServices.MoveNextRunner:Run()
09-27 02:43:05.804 30575 30610 I Unity   : System.Threading.Tasks.AwaitTaskContinuation:RunCallback(ContextCallback, Object, Task&)
09-27 02:43:05.804 30575 30610 I Unity   : System.Threading.Tasks.Task:FinishContinuations()
09-27 02:43:05.804 30575 30610 I Unity   : System.Threading.Tasks.Task`1:TrySetResult(TResult)
09-27 02:43:05.804 30575 30610 I Unity   : System.Runtime.CompilerServices.AsyncTaskMethodBuilder`1:SetResult(TResult)
09-27 02:43:05.804 30575 30610 I Unity   : Hexiege.Infrastructure.<RefreshCurrentLobbyAsync>d__16:MoveNext()
09-27 02:43:05.804 30575 30610 I Unity   : System.Threading.ExecutionContext:RunInternal(ExecutionContext, ContextCallback, Object, Boolean)
